Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Brimhams Active,GF Balance Movements/ Other,R,Corporate Affairs,Human Resources,Debits,2022-07-13,COMPUTERSHARE VOUCHER SERVICES,6001260,320.00,
Brimhams Active,GF Balance Movements/ Other,R,Corporate Affairs,Human Resources,Debits,2022-07-13,COMPUTERSHARE VOUCHER SERVICES,6001260,6.40,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Miscellaneous Expenditure,2022-07-06,BC SOFTWEAR LTD,6001094,640.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Purchase of Chemicals,2022-07-06,BRENNTAG UK LIMITED,6001172,382.30,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Purchase of Chemicals,2022-07-20,BRENNTAG UK LIMITED,6001226,452.76,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Miscellaneous Expenditure,2022-07-18,CHAPELCROFT LTD T/A ARK,6001286,520.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-27,DANUK INNOVATIVE GIFTS LIMITED,6001312,730.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Catering - Direct Purchases,2022-07-13,DAVID MILLER FROZEN FOODS LTD,6001236,558.39,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Materials,2022-07-06,DAVINES UK LTD,6001215,895.50,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Saleable Items,2022-07-13,DAVINES UK LTD,6001237,1044.82,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Saleable Items,2022-07-27,DAVINES UK LTD,6001239,745.60,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-20,DESIGNED BY DUO LTD,6001238,525.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-18,DOT + DIODE LTD,6001316,3000.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Laundry,2022-07-25,ELIS UK LIMITED,6001325,14557.60,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Equipment,2022-07-27,FT LEISURE LIMITED,6001254,306.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-11,GAME TIME,6001258,1440.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Materials,2022-07-18,GERRARD INTERNATIONAL LTD,6001289,373.60,
Brimhams Active,Employees,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Pay,2022-07-25,HARROGATE BOROUGH COUNCIL,6001309,51.00,Other Pay
Brimhams Active,Employees,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Pay,2022-07-25,HARROGATE BOROUGH COUNCIL,6001309,700.00,Other Pay
Brimhams Active,Employees,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Pay,2022-07-25,HARROGATE BOROUGH COUNCIL,6001309,600.00,Other Pay
Brimhams Active,Employees,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Pay,2022-07-25,HARROGATE BOROUGH COUNCIL,6001309,225.00,Other Pay
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-27,HARROGATE INTERNATIONAL FESTIVAL LTD,6001342,1210.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Catering - Direct Purchases,2022-07-11,HARROGATE TEA ROOMS,6001256,275.50,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-13,MUMBLER LTD,6001262,500.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-13,MUMBLER LTD,6001261,1000.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Saleable Items,2022-07-20,NEOM LIMITED,6001207,927.96,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Saleable Items,2022-07-27,NEOM LIMITED,6001259,1185.96,
Brimhams Active,Premises,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Premises Costs - Joint Use,2022-07-04,NIDDERDALE HIGH SCHOOL,6001192,20995.64,Joint use agreement
Brimhams Active,Employees,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Qualification Training,2022-07-27,NUCO TRAINING,6001208,560.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Materials,2022-07-11,PROFILE MARKETING SERVICES,6001240,307.86,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Consultants Fees,2022-07-25,REDACTED PERSONAL DATA,6001337,1800.00,
Brimhams Active,Transport,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Car Allowances,2022-07-25,REDACTED PERSONAL DATA,6001338,387.45,PQ Resettlement Claims for Mileage  and  Accommodation
Brimhams Active,Transport,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Travel,2022-07-25,REDACTED PERSONAL DATA,6001338,825.57,PQ Resettlement Claims for Mileage  and  Accommodation
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-27,TIG,6001190,270.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Marketing/ Promotion,2022-07-27,TIG,6001189,395.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Consultants Fees,2022-07-11,WILD ACCOUNTANCY LIMITED,6001253,230.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Consultants Fees,2022-07-11,WILD ACCOUNTANCY LIMITED,6001250,920.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Consultants Fees,2022-07-11,WILD ACCOUNTANCY LIMITED,6001251,920.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Equipment,2022-07-06,WMS LTD T/A SP SERVICES (UK)  LTD,6001119,403.76,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,Other Supplies & Services,2022-07-06,WMS LTD T/A SP SERVICES (UK)  LTD,6001119,170.20,
